DATA,PRECIPITACAO,Temperatura Max,Temperatura Min
2015-09-01,93.39999999999999,28.48,15.903333333333334
2015-10-01,69.6,30.496774193548386,18.416129032258063
2015-11-01,180.4,29.6,20.033333333333335
2015-12-01,172.4,30.60967741935484,20.01290322580645
2016-01-01,224.6,29.825806451612905,19.683870967741935
2016-02-01,183.8,31.29655172413793,20.03793103448276
2016-03-01,220.8,29.787096774193547,19.051612903225806
2016-04-01,13.0,30.473333333333336,17.596666666666668
2016-05-01,61.6,24.693548387096776,13.896774193548387
2016-06-01,112.0,22.56,11.053333333333335
2016-07-01,0.8,25.40967741935484,10.329032258064515
2016-08-01,42.8,26.56451612903226,11.983870967741936
2016-09-01,14.6,27.733333333333334,14.883333333333333
2016-10-01,110.0,28.980645161290322,17.338709677419356
2016-11-01,183.79999999999998,28.433333333333334,17.28666666666667
2016-12-01,136.20000000000002,31.461290322580645,18.325806451612905
2017-01-01,334.0,30.093548387096774,20.129032258064516
2017-02-01,48.8,31.97142857142857,21.807142857142857
2017-03-01,208.8,29.419354838709676,18.80322580645161
2017-04-01,53.2,26.846666666666668,16.943333333333335
2017-05-01,82.4,24.783870967741933,14.803225806451612
2017-06-01,24.6,24.506666666666668,11.643333333333334
2017-07-01,1.4000000000000001,23.648387096774194,9.070967741935483
2017-08-01,52.400000000000006,24.9,11.77741935483871
2017-09-01,33.6,30.35666666666667,12.67
2017-10-01,148.79999999999998,29.654838709677417,17.496774193548386
2017-11-01,19.8,27.646666666666665,15.54
2017-12-01,59.8,29.527272727272727,20.145454545454545
2018-01-01,358.59999999999997,29.9741935483871,19.26451612903226
2018-02-01,53.800000000000004,29.410714285714285,19.175
2018-03-01,208.20000000000002,30.906451612903226,19.94193548387097
2018-04-01,39.0,28.240000000000002,16.57
2018-05-01,10.8,26.280645161290323,13.451612903225806
2018-06-01,14.0,25.083333333333332,13.406666666666666
2018-07-01,13.200000000000001,26.40967741935484,10.341935483870968
2018-08-01,58.8,24.690322580645162,12.770967741935483
2018-09-01,64.4,27.766666666666666,14.7
2018-10-01,205.0,26.693548387096776,17.738709677419354
2018-11-01,157.6,27.896666666666665,18.08
2018-12-01,140.6,31.0258064516129,18.606451612903225
2019-01-01,231.6,32.93225806451613,19.84193548387097
2019-02-01,237.2,30.214285714285715,19.50357142857143
2019-03-01,200.8,29.580645161290324,19.458064516129035
2019-04-01,69.6,29.246666666666666,18.46333333333333
2019-05-01,87.2,26.774193548387096,16.529032258064515
2019-06-01,24.000000000000004,25.39,12.58
2019-07-01,62.400000000000006,24.174193548387095,9.406451612903227
